Site ID,M36/0473
Site Name,M36/0473
Site ID,SampleID,Collection Date,Measurement,Value,Units
"M36/0473","20236118","25-Oct 2023 10:30am","Oxidation Reduction Potential","117.400","mV"
"M36/0473","20236118","25-Oct 2023 10:30am","pH","7.8",""
"M36/0473","20236118","25-Oct 2023 10:30am","pH (Field)","7.86",""
"M36/0473","20236118","25-Oct 2023 10:30am","Potassium, Dissolved","0.980","mg/L"
"M36/0473","20236118","25-Oct 2023 10:30am","Silica, Reactive","19.000","mg/L  as SiO2"
"M36/0473","20236118","25-Oct 2023 10:30am","Sodium, Dissolved","8.400","mg/L"
"M36/0473","20236118","25-Oct 2023 10:30am","Sulphate","3.000","mg/L"
"M36/0473","20236118","25-Oct 2023 10:30am","Sum of anions","1.330","meq/L"
"M36/0473","20236118","25-Oct 2023 10:30am","Sum of cations","1.320","meq/L"
"M36/0473","20236118","25-Oct 2023 10:30am","Total Coliforms","<1.00","number/100mL"
"M36/0473","20236118","25-Oct 2023 10:30am","Total Dissolved Phosphorus","0.014","mg/L"
"M36/0473","20236118","25-Oct 2023 10:30am","Water Temperature (Field)","12.7","C"
"M36/0473","20225733","20-Oct 2022 11:40am","Alkalinity, Total","52.0","g/m3 as CaCO3"
"M36/0473","20225733","20-Oct 2022 11:40am","Ammoniacal Nitrogen","<0.010","mg/L"
"M36/0473","20225733","20-Oct 2022 11:40am","Arsenic, Dissolved","<0.0010","mg/L"
"M36/0473","20225733","20-Oct 2022 11:40am","Bicarbonate","63.000","mg/L  at 25°C"
"M36/0473","20225733","20-Oct 2022 11:40am","Calcium, Dissolved","11.700","mg/L"
"M36/0473","20225733","20-Oct 2022 11:40am","Chloride","6.300","mg/L"
"M36/0473","20225733","20-Oct 2022 11:40am","Conductivity","13.7","mS/m"
"M36/0473","20225733","20-Oct 2022 11:40am","Conductivity (Field)","12.67","mS/m"
"M36/0473","20225733","20-Oct 2022 11:40am","Difference in Ion Balance","2.500","%"
"M36/0473","20225733","20-Oct 2022 11:40am","Dissolved Oxygen","2.570","mg/L"
"M36/0473","20225733","20-Oct 2022 11:40am","Dissolved Oxygen Saturation","24.400","%"
"M36/0473","20225733","20-Oct 2022 11:40am","Dissolved Reactive Phosphorus","0.0089","mg/L"
"M36/0473","20225733","20-Oct 2022 11:40am","E. coli","<1","MPN/100mL"
"M36/0473","20225733","20-Oct 2022 11:40am","Hardness, Total","43.000","g/m3 as CaCO3"
"M36/0473","20225733","20-Oct 2022 11:40am","Iron, Dissolved","<0.020","mg/L"
"M36/0473","20225733","20-Oct 2022 11:40am","Magnesium, Dissolved","3.500","mg/L"
"M36/0473","20225733","20-Oct 2022 11:40am","Manganese, Dissolved","<0.0005","mg/L"
"M36/0473","20225733","20-Oct 2022 11:40am","Nitrate Nitrogen","0.630","mg/L"
"M36/0473","20225733","20-Oct 2022 11:40am","Nitrate-N Nitrite-N","0.630","g/m3"
"M36/0473","20225733","20-Oct 2022 11:40am","Nitrite Nitrogen","<0.002","mg/L"
"M36/0473","20225733","20-Oct 2022 11:40am","Oxidation Reduction Potential","230.200","mV"
"M36/0473","20225733","20-Oct 2022 11:40am","pH","7.9",""
"M36/0473","20225733","20-Oct 2022 11:40am","pH (Field)","7.48",""
"M36/0473","20225733","20-Oct 2022 11:40am","Potassium, Dissolved","0.930","mg/L"
"M36/0473","20225733","20-Oct 2022 11:40am","Silica, Reactive","19.300","mg/L  as SiO2"
"M36/0473","20225733","20-Oct 2022 11:40am","Sodium, Dissolved","8.300","mg/L"
"M36/0473","20225733","20-Oct 2022 11:40am","Sulphate","2.300","mg/L"
"M36/0473","20225733","20-Oct 2022 11:40am","Sum of anions","1.310","meq/L"
"M36/0473","20225733","20-Oct 2022 11:40am","Sum of cations","1.250","meq/L"
"M36/0473","20225733","20-Oct 2022 11:40am","Total Coliforms","1.00","number/100mL"
"M36/0473","20225733","20-Oct 2022 11:40am","Total Dissolved Phosphorus","0.013","mg/L"
"M36/0473","20225733","20-Oct 2022 11:40am","Water Temperature (Field)","12.7","C"
"M36/0473","20217897","06-Dec 2021 13:00pm","Alkalinity, Total","48.0","g/m3 as CaCO3"
"M36/0473","20217897","06-Dec 2021 13:00pm","Ammoniacal Nitrogen","0.012","mg/L"
"M36/0473","20217897","06-Dec 2021 13:00pm","Bicarbonate","58.000","mg/L  at 25°C"
"M36/0473","20217897","06-Dec 2021 13:00pm","Calcium, Dissolved","12.200","mg/L"
"M36/0473","20217897","06-Dec 2021 13:00pm","Chloride","6.500","mg/L"
"M36/0473","20217897","06-Dec 2021 13:00pm","Conductivity","13.0","mS/m"
"M36/0473","20217897","06-Dec 2021 13:00pm","Conductivity (Field)","12.13","mS/m"
