ID,WELL_NO,Primary_Use,WGS84_LONGITUDE,WGS84_LATITUDE,WELL_URL
305,BW24/0098,Domestic Supply,172.61799173289515,-43.38050182632621,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=BW24/0098
327,BW23/0069,Domestic Supply,172.5269170560211,-43.38854119917097,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=BW23/0069
346,M35/1089,Irrigation,172.41275554597686,-43.54054834914291,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/1089
347,M35/2984,Domestic Supply,172.41130836587712,-43.49823543107725,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/2984
354,M36/5728,Domestic Supply,172.41125545551088,-43.55494245897351,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/5728
356,M35/6915,Irrigation,172.41191788893093,-43.49913867479725,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/6915
358,M36/4790,Irrigation,172.41079496590385,-43.62438279849388,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/4790
365,M36/3015,Domestic Supply,172.4109725327289,-43.66115217901029,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/3015
369,M36/3104,Domestic Supply,172.41145473958946,-43.61893161462792,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/3104
370,M36/2978,Domestic Supply,172.4116272114563,-43.590804523828616,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/2978
378,M36/1633,Domestic Supply,172.4127466074754,-43.58515759641283,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/1633
380,M35/7640,Domestic Supply,172.4125730080736,-43.50814323577346,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/7640
390,M36/5663,Domestic Supply,172.41177743240155,-43.64198451333535,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/5663
394,M36/5108,Domestic Supply,172.4129371195949,-43.547390121916706,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/5108
396,M36/4106,Domestic Supply,172.4115480303203,-43.66446740241245,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/4106
402,M36/3193,Domestic Supply,172.4117434018363,-43.70976004792294,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/3193
403,M36/5215,Domestic Supply,172.41177294532378,-43.70669997917446,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/5215
408,M36/0298,Domestic Supply,172.41291489627397,-43.58825480057746,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/0298
411,M35/5066,Domestic Supply,172.41257501368108,-43.30427919084264,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/5066
416,M36/4369,Irrigation,172.4126563542374,-43.62794763097954,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/4369
419,M36/5103,Irrigation,172.413638808806,-43.54777174345006,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/5103
431,M35/6771,Domestic Supply,172.39540873075885,-43.32507330981488,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/6771
432,M35/1118,Domestic Supply,172.39414850405356,-43.52037930766521,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/1118
443,M35/5224,Domestic Supply,172.39477035271324,-43.5449557792165,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/5224
444,M35/0054,Domestic Supply,172.39349255066367,-43.53657798418879,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/0054
448,M35/0085,Domestic Supply,172.39687610372275,-43.332534348904225,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/0085
449,M36/4383,Domestic Supply,172.39420470311222,-43.61435093203878,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/4383
451,M35/5687,Domestic Supply,172.3950455231332,-43.54216687015399,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/5687
452,M35/8180,Domestic Supply,172.3955567871483,-43.503104368759686,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/8180
453,M35/1158,Irrigation,172.3956666959523,-43.50449113690548,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/1158
456,M35/8007,Irrigation,172.3971205025028,-43.3950959441601,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/8007
457,M35/6224,Irrigation,172.3968009068839,-43.531086648455016,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/6224
462,M36/3392,Domestic Supply,172.39520082067085,-43.62632739699842,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/3392
467,M35/2635,Irrigation,172.39715510921326,-43.536552211094886,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/2635
468,M35/1117,Domestic Supply,172.39623959277006,-43.52156045210467,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/1117
469,M35/2763,Domestic Supply,172.39645354741813,-43.4999586420098,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M35/2763
470,M36/4427,Irrigation,172.3956087649765,-43.596446353696706,http://ecan.govt.nz/data/well-search/welldetails/?WellNo=M36/4427
