Site ID,M34/0661
Site Name,M34/0661
Sample ID,20214146
Collection Date,02-Jun 2021 11:10am
"Chromium, Dissolved","<0.0005","mg/L"
"Chrysene","<0.00030","mg/L"
"cis-1,2-Dichloroethene","<0.000","g/m3"
"cis-1,3-Dichloropropene","<0.001","g/m3"
"Cobalt, Dissolved","<0.000","mg/L Co"
"Conductivity","31.5","mS/m"
"Conductivity (Field)","31.18","mS/m"
"Copper, Dissolved","<0.0005","mg/L"
"delta-BHC","<0.0005000","mg/L"
"Di(2-ethylhexyl)adipate","<0.0010","gm3"
"di-n-butyl phthalate","<0.001","mg/L"
"di-n-octylphthalate","<0.001","mg/L"
"Dibenzofuran","<0.001","mg/L"
"Dibromochloromethane","<0.000","g/m3"
"Dibromomethane","<0.000","g/m3"
"Dichlorodifluoromethane","<0.000","g/m3"
"Dichloromethane","<0.010","ug/L"
"Dieldrin","<0.0005000","mg/L"
"Diethylphthalate","<0.001","mg/L"
"Difference in Ion Balance","1.590","%"
"Dimethylphthalate","<0.001","mg/L"
"Dissolved Oxygen","0.070","mg/L"
"Dissolved Oxygen Saturation","0.700","%"
"Dissolved Reactive Phosphorus","0.1490","mg/L"
"Endosulfan I","<0.0010000","mg/L"
"Endosulfan II","<0.0010000","mg/L"
"Endosulfan sulphate","<0.0010000","mg/L"
"Endrin","<0.0005000","mg/L"
"Endrin ketone","<0.0010000","mg/L"
"Ethylbenzene","<0.001","g/m3"
"Fluoranthene","<0.00030","mg/L"
"Fluorene","<0.0003","mg/L"
"Hardness, Total","99.000","g/m3 as CaCO3"
"Heptachlor","<0.0005000","mg/L"
"Heptachlor epoxide","<0.0005000","mg/L"
"Hexachlorobenzene","<0.0005000","mg/L"
"hexachlorobutadiene","<0.000","mg/L"
"hexachloroethane","<0.0005","mg/L"
"Iron, Dissolved","0.270","mg/L"
"Isophorone","<0.001","mg/L"
"Isopropylbenzene","<0.000","ug/L"
"Lead, Dissolved","<0.0001","mg/L"
"Lindane","<0.0005000","mg/L"
"Lithium, Dissolved","0.004","mg/L"
"m+p-Xylene","<0.0005","ug/L"
"Magnesium, Dissolved","5.600","mg/L"
"Mercury, Dissolved","<0.000","mg/L"
"Methyl tert-butyl ether","<0.000","g/m3"
"Molybdenum, Dissolved","0.002","mg/L Mo"
"n-Butylbenzene","<0.001","g/m3"
"N-Nitrosodi-n-propylamine","<0.001","mg/L"
"N-Nitrosodiphenylamine + Diphenylamine","<0.001",""
"n-Propylbenzene","<0.001","g/m3"
"Naled","<0.000500","mg/L"
"Naphthalene","<0.0003","g/m3"
"Nickel, Dissolved","<0.0005","mg/L"
"Nitrate Nitrogen","<0.002","mg/L"
"Nitrate-N + Nitrite-N, Solid","<0.0","mg/kg dry wt"
"Nitrite-N, Solid","<0.0","mg/kg dry wt"
"Nitrobenzene","<0.001","mg/L"
"o-Xylene","<0.0003","g/m3"
"Oxidation Reduction Potential","-69.100","mV"
"Pentachlorophenol","<0.010000","mg/L"
"pH","7.9",""
"pH (Field)","6.98",""
"Phenanthrene","<0.0003","mg/L"
"Phenol","<0.001","mg/L"
"Potassium, Dissolved","1.370","mg/L"
"Pyrene","<0.0003","mg/L"
"sec-Butylbenzene","<0.000","g/m3"
"Silica, Reactive","16.400","mg/L  as SiO2"
"Sodium, Dissolved","32.000","mg/L"
"Styrene","0.001","g/m3"
"Sulphate","2.100","mg/L"
"Sum of anions","3.300","meq/L"
"Sum of cations","3.400","meq/L"
"tert-Butylbenzene","<0.000","g/m3"
"Tetrachloroethene","<0.000","ug/L"
"Tin, Dissolved","<0.001","mg/L Sn"
"trans-1,2-Dichloroethene","<0.000","g/m3"
"trans-1,3-Dichloropropene","<0.001","g/m3"
"Trichloroethene","<0.000","ug/L"
"Trichlorofluoromethane","<0.000","g/m3"
"Turbidity","2.2","NTU"
"Vanadium, Total","<0.001","mg/L"
"Vinyl chloride","<0.000","g/m3"
"Water Temperature (Field)","12.9","C"
"Zinc, Dissolved","0.008","mg/L"
